,type,TP,FP,FN,IOU
Beantwoording wob-verzoek communicatie tussen PNH en gem. Heemstede inzake Cruquiusbrug Heemstede-5.png,no_annotation,0.0,0.0,0.0,0.0
Beantwoording wob-verzoek communicatie tussen PNH en gem. Heemstede inzake Cruquiusbrug Heemstede-6.png,no_annotation,0.0,0.0,0.0,0.0
beslisnota-bij-geannoteerde-agenda-formele-energieraad-28-03-1.png,gray,0.0,0.0,19.0,0.0
Beslissing-op-Wob-verzoek-inzake-subsidieaanvraag-Waalse-Water.html__concatenated-page3.png,black,0.0,0.0,7.0,0.0
Beslissing-op-Wob-verzoek-inzake-subsidieaanvraag-Waalse-Water.html__concatenated-page33.png,black,0.0,0.0,1.0,0.0
Beslissing-op-Wob-verzoek-inzake-subsidieaanvraag-Waalse-Water.html__concatenated-page40.png,black,1.0,0.0,7.0,0.5546243639628854
BESLUIT_Beslissing Stiath 060423_a_page001-001.png,border,0.0,0.0,5.0,0.0
BESLUIT_Beslissing Stiath 060423_b_page024-001.png,border,0.0,0.0,1.0,0.0
Bestanden_18724268-3.png,black,2.0,1.0,2.0,1.260616156310621
bijlage 1 bij besluit op wob-verzoek over film de oost-1.png,black,4.0,6.0,9.0,2.9132415885724163
bijlage 1 bij besluit op wob-verzoek over film de oost-15.png,black,0.0,0.0,3.0,0.0
bijlage 1 bij besluit op wob-verzoek over film de oost-9.png,black,2.0,1.0,15.0,1.1429038212542377
Bijlage-1.png,black,1.0,0.0,3.0,0.5478927203065134
Bijlage-11.png,no_annotation,0.0,0.0,0.0,0.0
Bijlage-14.png,no_annotation,0.0,2.0,0.0,0.0
Bijlage-3.png,black,0.0,0.0,2.0,0.0
Bijlage-4.png,no_annotation,0.0,0.0,0.0,0.0
Bijlage-6.png,no_annotation,0.0,0.0,0.0,0.0
Bijlage-8.png,no_annotation,0.0,0.0,0.0,0.0
Bijlage-9.png,black,0.0,28.0,4.0,0.0
bijlage-beslisnota-s-mirt-overzicht-2023-deltaprogramma-2023-en-geactualiseerde-spelregels-van-het-mirt-2.png,gray,0.0,0.0,2.0,0.0
bijlage-beslisnota-s-mirt-overzicht-2023-deltaprogramma-2023-en-geactualiseerde-spelregels-van-het-mirt-4.png,gray,0.0,0.0,1.0,0.0
bijlage-beslisnota-s-mirt-overzicht-2023-deltaprogramma-2023-en-geactualiseerde-spelregels-van-het-mirt-6.png,gray,0.0,0.0,2.0,0.0
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021-13.png,color,10.0,8.0,46.0,7.520067230051008
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021-16.png,color,9.0,2.0,35.0,6.255527771368159
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021-2.png,color,5.0,1.0,15.0,3.2268738881698322
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021-20.png,color,3.0,4.0,24.0,2.100039590634799
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021-26.png,color,17.0,3.0,22.0,11.835760163775978
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021-30.png,color,17.0,5.0,24.0,11.989949552837203
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021-31.png,color,9.0,2.0,10.0,5.666340782294879
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021-4.png,color,9.0,2.0,29.0,5.9531795234394895
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021-8.png,color,1.0,0.0,9.0,0.698308353054606
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021_page003-001.png,color,5.0,2.0,18.0,3.3063856149669895
Bijlagen 2 bij Besluit op Woo-verzoek over uitvoering geven door de Staat aan het vonnis van de rechtbank van 14 april 2021_page016-001.png,color,9.0,1.0,21.0,6.591261153467821
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-102.png,gray,0.0,0.0,4.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-104.png,no_annotation,0.0,0.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-106.png,gray,0.0,0.0,2.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-109.png,gray,0.0,0.0,13.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-110.png,gray,0.0,0.0,11.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-113.png,gray,2.0,1.0,5.0,1.21168893277932
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-114.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-127.png,gray,1.0,2.0,8.0,0.6146458583433373
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-131.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-134.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-137.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-142.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-146.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-147.png,gray,0.0,1.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-148.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-149.png,gray,0.0,2.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-151.png,gray,0.0,8.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-153.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-154.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-157.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-158.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-16.png,gray,0.0,1.0,2.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-160.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-161.png,gray,0.0,1.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-165.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-168.png,no_annotation,0.0,9.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-170.png,no_annotation,0.0,2.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-174.png,no_annotation,0.0,0.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-175.png,no_annotation,0.0,0.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-18.png,gray,0.0,1.0,2.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-180.png,no_annotation,0.0,0.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-182.png,no_annotation,0.0,0.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-195.png,no_annotation,0.0,1.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-197.png,gray,0.0,1.0,11.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-2.png,gray,0.0,1.0,3.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-201.png,gray,0.0,0.0,7.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-202.png,gray,0.0,1.0,10.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-206.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-211.png,gray,1.0,1.0,8.0,0.5872781065088757
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-215.png,gray,0.0,2.0,5.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-22.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-221.png,gray,0.0,2.0,4.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-228.png,gray,0.0,0.0,4.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-23.png,no_annotation,0.0,0.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-230.png,gray,0.0,0.0,3.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-240.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-243.png,no_annotation,0.0,0.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-25.png,gray,1.0,0.0,18.0,0.573905862923204
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-3.png,gray,0.0,1.0,19.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-31.png,no_annotation,0.0,0.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-33.png,gray,0.0,0.0,6.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-36.png,gray,0.0,1.0,12.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-39.png,gray,0.0,0.0,3.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-42.png,no_annotation,0.0,1.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-43.png,no_annotation,0.0,1.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-49.png,no_annotation,0.0,1.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-5.png,gray,2.0,2.0,13.0,1.3863206619664838
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-50.png,gray,3.0,0.0,0.0,1.7024206611414225
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-60.png,no_annotation,0.0,0.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-71.png,no_annotation,0.0,2.0,0.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-72.png,gray,0.0,0.0,5.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-74.png,gray,2.0,1.0,12.0,1.2958782000926878
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-75.png,gray,0.0,3.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-79.png,gray,0.0,0.0,1.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-82.png,gray,1.0,3.0,24.0,0.5354969574036511
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-88.png,gray,0.0,1.0,5.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-92.png,gray,0.0,1.0,13.0,0.0
Bijlagen bij besluit Woo-verzoek over verantwoord medicijngebruik-96.png,no_annotation,0.0,1.0,0.0,0.0
Bijlagen deel 2 bij Woo-besluit bijverdiensten bestuurders semipublieke sector _WNT_-12.png,border,0.0,0.0,19.0,0.0
Bijlagen deel 2 bij Woo-besluit bijverdiensten bestuurders semipublieke sector _WNT_-14.png,gray,0.0,0.0,4.0,0.0
Bijlagen deel 2 bij Woo-besluit bijverdiensten bestuurders semipublieke sector _WNT_-16.png,color,0.0,4.0,69.0,0.0
Bijlagen deel 2 bij Woo-besluit bijverdiensten bestuurders semipublieke sector _WNT_-3.png,gray,0.0,0.0,8.0,0.0
Bijlagen deel 2 bij Woo-besluit bijverdiensten bestuurders semipublieke sector _WNT_-7.png,color,0.0,0.0,1.0,0.0
Bijlagen deel 2 bij Woo-besluit bijverdiensten bestuurders semipublieke sector _WNT_page015-001.png,border,0.0,0.0,19.0,0.0
Binder OneLove-12.png,border,0.0,11.0,8.0,0.0
Binder OneLove-5.png,border,0.0,11.0,6.0,0.0
Binder OneLove_page002-001.png,border,0.0,0.0,4.0,0.0
Binder OneLove_page005-001.png,border,0.0,0.0,5.0,0.0
Binder OneLove_page131-001.png,border,0.0,0.0,6.0,0.0
Binder OneLove_page132-001.png,border,0.0,0.0,3.0,0.0
Binder OneLove_page172-001.png,border,0.0,0.0,8.0,0.0
c-sms-berichten-mp-sg-11.png,gray,1.0,16.0,2.0,0.5759162303664922
c-sms-berichten-mp-sg-13.png,gray,0.0,0.0,1.0,0.0
c-sms-berichten-mp-sg-14.png,gray,0.0,0.0,2.0,0.0
c-sms-berichten-mp-sg-15.png,gray,1.0,0.0,4.0,0.6390755489768971
c-sms-berichten-mp-sg-2.png,gray,0.0,1.0,2.0,0.0
c-sms-berichten-mp-sg-26.png,gray,0.0,35.0,1.0,0.0
c-sms-berichten-mp-sg-3.png,no_annotation,0.0,27.0,0.0,0.0
c-sms-berichten-mp-sg-31.png,gray,1.0,0.0,4.0,0.5044940562481879
c-sms-berichten-mp-sg-32.png,gray,1.0,4.0,5.0,0.5525904148056011
c-sms-berichten-mp-sg-33.png,gray,0.0,47.0,1.0,0.0
c-sms-berichten-mp-sg-42.png,gray,1.0,55.0,0.0,0.663895737935893
c-sms-berichten-mp-sg-45.png,no_annotation,0.0,50.0,0.0,0.0
c-sms-berichten-mp-sg-7.png,gray,0.0,54.0,4.0,0.0
c-sms-berichten-mp-sg-8.png,no_annotation,0.0,57.0,0.0,0.0
c-sms-berichten-mp-sg-9.png,gray,0.0,45.0,2.0,0.0
Documenten bij besluit op Wob-verzoek over via Koninklijk Besluit verlopen benoemingen binnen Centraal Tuchtcollege voor de Gezondheidszorg-6.png,gray,0.0,0.0,3.0,0.0
Documenten bij herziene beslissing op bezwaar Wob-besluit over NGO-schepen op Middellandse Zee-10.png,color,0.0,0.0,11.0,0.0
Documenten bij herziene beslissing op bezwaar Wob-besluit over NGO-schepen op Middellandse Zee-7.png,color,0.0,0.0,3.0,0.0
Documenten bij herziene beslissing op bezwaar Wob-besluit over NGO-schepen op Middellandse Zee-8.png,color,0.0,0.0,6.0,0.0
Documenten bij herziene beslissing op bezwaar Wob-besluit over NGO-schepen op Middellandse Zee-9.png,color,1.0,1.0,7.0,0.5971361393130722
Documenten bij herziene beslissing op bezwaar Wob-besluit over NGO-schepen op Middellandse Zee_page008-001.png,color,0.0,0.0,3.0,0.0
Documenten bij herziene beslissing op bezwaar Wob-besluit over NGO-schepen op Middellandse Zee_page012-001.png,color,0.0,0.0,11.0,0.0
Documenten bij Woo-besluit over correspondentie tussen besturen bij totstandkoming rapport Perspectief voor de Gnephoek eo-1.png,color,4.0,3.0,14.0,2.7408547764746514
Documenten bij Woo-besluit over correspondentie tussen besturen bij totstandkoming rapport Perspectief voor de Gnephoek eo-12.png,color,1.0,2.0,19.0,0.5145411632930634
Documenten bij Woo-besluit over correspondentie tussen besturen bij totstandkoming rapport Perspectief voor de Gnephoek eo-15.png,gray,0.0,0.0,1.0,0.0
Documenten bij Woo-besluit over correspondentie tussen besturen bij totstandkoming rapport Perspectief voor de Gnephoek eo-16.png,color,2.0,1.0,12.0,1.2275406587136113
Documenten bij Woo-besluit over correspondentie tussen besturen bij totstandkoming rapport Perspectief voor de Gnephoek eo-24.png,border,0.0,0.0,11.0,0.0
Documenten bij Woo-besluit over correspondentie tussen besturen bij totstandkoming rapport Perspectief voor de Gnephoek eo-3.png,color,2.0,1.0,6.0,1.1337174717723513
Documenten bij Woo-besluit over correspondentie tussen besturen bij totstandkoming rapport Perspectief voor de Gnephoek eo-9.png,color,1.0,2.0,19.0,0.7665094339622641
Documenten bij Woo-besluit over rapporten The Hague Centre for Strategic Studies _HCSS_-11.png,border,0.0,0.0,4.0,0.0
Documenten bij Woo-besluit over rapporten The Hague Centre for Strategic Studies _HCSS_-3.png,border,0.0,1.0,6.0,0.0
Documenten bij Woo-besluit over rapporten The Hague Centre for Strategic Studies _HCSS_-7.png,no_annotation,0.0,0.0,0.0,0.0
Documenten bij Woo-besluit over rapporten The Hague Centre for Strategic Studies _HCSS_-8.png,no_annotation,0.0,0.0,0.0,0.0
Documenten bij Woo-besluit over rapporten The Hague Centre for Strategic Studies _HCSS_page010-001.png,border,0.0,0.0,2.0,0.0
Documenten bij Woo-besluit over rapporten The Hague Centre for Strategic Studies _HCSS_page014-001.png,border,0.0,0.0,1.0,0.0
documenten-180-226-10.png,gray,1.0,1.0,7.0,0.6999281200716654
documenten-180-226-22.png,gray,0.0,0.0,7.0,0.0
documenten-180-226-23.png,gray,0.0,0.0,1.0,0.0
documenten-180-226-25.png,gray,0.0,8.0,12.0,0.0
documenten-180-226-3.png,no_annotation,0.0,0.0,0.0,0.0
documenten-180-226-30.png,gray,0.0,5.0,6.0,0.0
documenten-180-226-37.png,gray,0.0,1.0,6.0,0.0
documenten-180-226-41.png,gray,2.0,2.0,3.0,1.259527918212819
documenten-180-226-45.png,gray,0.0,0.0,22.0,0.0
documenten-180-226-48.png,gray,2.0,0.0,25.0,1.69396085587176
documenten-180-226-5.png,gray,0.0,0.0,3.0,0.0
documenten-180-226-51.png,gray,1.0,2.0,10.0,0.907249898744431
documenten-180-226-61.png,gray,0.0,1.0,48.0,0.0
documenten-180-226-62.png,gray,0.0,1.0,28.0,0.0
documenten-180-226-70.png,gray,1.0,1.0,21.0,0.6294320733449895
documenten-180-226-71.png,gray,1.0,0.0,22.0,0.5562479656753958
documenten-180-226-73.png,gray,0.0,0.0,3.0,0.0
documenten-180-226-77.png,gray,4.0,4.0,17.0,2.6735436012640132
documenten-180-226-79.png,gray,3.0,0.0,15.0,2.4669679006800815
documenten-180-226-81.png,gray,0.0,1.0,34.0,0.0
documenten-180-226-85.png,gray,0.0,1.0,8.0,0.0
documenten-180-226-88.png,gray,0.0,1.0,10.0,0.0
documenten-180-226-90.png,gray,0.0,0.0,15.0,0.0
doucmenten deel 5-13.png,black,0.0,0.0,5.0,0.0
doucmenten deel 5-2.png,black,2.0,6.0,12.0,1.5803829189895557
doucmenten deel 5-21.png,black,2.0,2.0,17.0,1.2503350258395203
doucmenten deel 5-29.png,black,6.0,16.0,18.0,3.7551291987410407
doucmenten deel 5-3.png,black,5.0,4.0,19.0,3.5304970104970903
doucmenten deel 5-33.png,black,0.0,2.0,9.0,0.0
doucmenten deel 5-37.png,black,1.0,2.0,13.0,0.6182634730538922
doucmenten deel 5-38.png,black,2.0,0.0,10.0,1.2553567395010303
doucmenten deel 5-39.png,black,4.0,1.0,4.0,2.516597123830703
doucmenten deel 5-4.png,black,2.0,2.0,19.0,1.2927729172715332
doucmenten deel 5-41.png,black,0.0,3.0,9.0,0.0
doucmenten deel 5-42.png,black,4.0,1.0,11.0,2.6899410652477957
doucmenten deel 5-43.png,black,3.0,1.0,13.0,2.4202366512992968
doucmenten deel 5-45.png,black,2.0,1.0,15.0,1.3069140278188813
doucmenten deel 5-46.png,black,2.0,0.0,9.0,1.437902663185998
doucmenten deel 5-47.png,black,2.0,0.0,9.0,1.4752783159931067
doucmenten deel 5-49.png,black,1.0,2.0,13.0,0.8647117627457515
doucmenten deel 5-50.png,black,1.0,1.0,14.0,0.8104964229151876
doucmenten deel 5-53.png,black,0.0,0.0,5.0,0.0
doucmenten deel 5-57.png,black,0.0,0.0,5.0,0.0
doucmenten deel 5-66.png,black,3.0,2.0,12.0,1.9962953608395362
doucmenten deel 5-7.png,black,0.0,1.0,4.0,0.0
doucmenten deel 5-73.png,black,0.0,3.0,8.0,0.0
doucmenten deel 5-9.png,black,0.0,0.0,13.0,0.0
